"n" "m" "A" "B"
10 10 80.163 87.762
10 10 84.761 93.695
15 10 428.611 560.844
15 10 415.532 433.839
20 10 1255.75 1377.75
20 10 1328.02 1360.3
25 10 3351.33 3977.98
25 10 4051.81 3578.39
30 10 7168.28 7366.54
30 10 7747.77 8632.98
35 10 14633.7 16571.7
35 10 14464.9 15702.4
40 10 23134 35278.6
40 10 38630 25419.7
45 10 41248 39852
45 10 46122.3 40158.2
50 10 55489 58300.7
50 10 59079.9 61848.3
55 10 95008.7 92156.8
55 10 130792 131678
60 10 157909 175782
60 10 152697 182380
65 10 245064 245913
65 10 208994 244123
70 10 362341 266725
70 10 300976 215822
75 10 551983 444517
75 10 455873 446758
80 10 631504 569878
80 10 597382 533484
85 10 659202 513308
85 10 473066 538324
90 10 680100 880564
90 10 875890 903850
95 10 938000 1.05385e+06
95 10 759201 715148
100 10 1.05066e+06 907793
100 10 1.19543e+06 865099
