"n" "m" "A" "B"
10 10 80.802 85.902
10 10 82.847 88.049
10 10 88.457 99.396
10 10 89.701 101.583
10 10 82.32 93.728
10 100 115.02 152.897
10 100 101.689 142.295
10 100 137.177 176.143
10 100 109.89 158.308
10 100 132.861 183.538
10 1000 151.964 229.813
10 1000 141.655 196.959
10 1000 125.592 176.755
10 1000 141.913 204.245
10 1000 145.724 203.796
12 10 161.477 174.084
12 10 182.589 190.731
12 10 167.82 188.15
12 10 171.26 190.707
12 10 180.726 163.291
12 100 233.782 345.383
12 100 338.565 332.466
12 100 218.421 304.977
12 100 226.983 337.586
12 100 218.057 305.256
12 1000 307.942 493.53
12 1000 280.666 399.114
12 1000 272.537 371.454
12 1000 314.788 387.444
12 1000 316.053 446.718
14 10 323 326.625
14 10 293.185 338.94
14 10 291.45 327.123
14 10 296.632 331.699
14 10 295.871 359.822
14 100 458.493 605.543
14 100 463.672 572.945
14 100 461.096 611.679
14 100 516.15 757.969
14 100 430.322 609.166
14 1000 838.953 1008.75
14 1000 649.023 861.766
14 1000 630.623 837.316
14 1000 500.246 829.262
14 1000 577.075 794.288
16 10 588.066 660.57
16 10 537.071 561.678
16 10 516.182 568.617
16 10 493.038 565.785
16 10 508.103 598.545
16 100 753.735 1061.84
16 100 766.733 966.2
16 100 1014.89 1204.74
16 100 935.472 1137.19
16 100 892.256 1020.93
16 1000 916.367 1388.48
16 1000 1018.91 1554.72
16 1000 916.012 1308.72
16 1000 1050.25 1398.59
16 1000 874.84 1377.17
18 10 856.942 1006.65
18 10 883.779 943.016
18 10 848.897 943.321
18 10 781.076 870.57
18 10 817.338 917.984
18 100 1413.82 1818.03
18 100 1467.24 1933.6
18 100 1168.42 1553.66
18 100 1330.97 1560.1
18 100 1480.88 1724.46
18 1000 2714.6 2709.5
18 1000 1558.02 2311.08
18 1000 2648.28 2593.72
18 1000 1485.27 2182.67
18 1000 1800.12 2304.3
20 10 1295.92 1449.82
20 10 1334.86 1508.21
20 10 1324.82 1393.31
20 10 1348.62 1486.99
20 10 1275.09 1377.16
20 100 1779.2 2378.51
20 100 1582.23 2230.73
20 100 2244.77 2728.91
20 100 2300.54 2948.64
20 100 2147 2718.09
20 1000 2464.26 3390.67
20 1000 2621.67 3530.54
20 1000 3289.33 4446.61
20 1000 2697.01 3676.65
20 1000 2521.23 3391.2
